gene,log2fc,pval,neg_log10_pval
'LSM4',1.3078155301659098,2.117327422900526e-48,47.67421197761419
'FAM136A',1.3074513903001102,5.173490493929614e-38,37.28621634457397
'KLHDC3',1.307270108800593,5.414196096167078e-30,29.266466018617045
'COG4',1.3042673515357244,6.176607791097717e-32,31.209249975086127
'GOT2',1.304260423870246,2.3153466801250145e-47,46.63538397225171
'CMAS',1.3001743621181872,6.09973438286783e-34,33.214689076229625
'PPME1',1.298687731097664,6.730394841564373e-35,34.17195945695245
'SNAPIN',1.2984771938800566,4.342569389665537e-29,28.36225323325897
'POP7',1.297176628833629,1.0749061602161963e-25,24.968629448194108
'MRPL15',1.296474841523981,3.7079283855761155e-38,37.43086866235102
'NIT2',1.295817041901071,1.432233018303553e-36,35.84398631838942
'MRPL3',1.295670534825414,3.177799195402408e-51,50.49787354925701
'AIMP2',1.295296838541959,3.393473481147638e-27,26.46935554032436
'AKR1B1',1.2948291604056834,5.920302162855153e-29,28.227656127008203
'SDC1',1.292542536941691,7.95546860227957e-70,69.09933423394445
'ABHD4',1.2918546366732555,2.160645837463336e-17,16.665416414718166
'C14orf1',1.291735642937449,1.555019119273216e-38,37.8082642668662
'TPD52L2',1.2916151166091494,1.9528206857189303e-39,38.70933763319861
'MTCH2',1.290473435909604,1.684035121397246e-44,43.773648855312636
'YDJC',1.2892278690841472,3.2103029274054514e-25,24.493453985198443
'BRIX1',1.2885185803334331,1.85927295545505e-43,42.73065684780422
'CALML3',1.2884101116399012,1.459173865277158e-50,49.83589295743367
'NT5C',1.2878692119480948,6.090316461558642e-38,37.21536014021805
'PPM1G',1.2875865675153484,8.210822004491587e-34,33.08561336247318
'NOC2L',1.287364772802762,6.639083410995681e-33,32.17789187500309
'RRM1',1.2854189241163436,8.59452472021861e-34,33.06577813492732
'ZFYVE21',1.2852421074926703,5.3879996002430524e-27,26.26857244517107
'DUSP14',1.2837427321079766,9.489781491053277e-36,35.022743787395925
'SSSCA1',1.283398392729975,7.628308911735276e-29,28.117571728323256
'COPS4',1.2832417901764686,1.7120314669568873e-29,28.766488257298967
'PAFAH1B3',1.281916257044604,2.468148475680772e-26,25.607628718127735
'SNRNP40',1.281869638464599,1.007242267995311e-30,29.996866057749322
'PBDC1',1.280965695561617,3.7330316223255992e-28,27.427938331171113
'COPS3',1.2807701847163673,3.324793692664454e-28,27.478235298005142
'DRG1',1.2770538979488526,1.7701602568268317e-40,39.751987414143834
'RNF34',1.2767817955639313,4.958713695961905e-27,26.304630966089487
'DAPP1',1.2767307107258274,5.23900531279111e-17,16.280751161140774
'CSRP2',1.2755840465963535,4.7557545433554324e-23,22.322780568522898
'LAS1L',1.2732516296674912,3.877675148176231e-27,26.41142857670751
'MOB1A',1.2722785473674325,4.3445435826918286e-48,47.36205584175387
'NCBP2',1.2722340491360677,6.36596106685712e-43,42.19613602177861
'IGBP1',1.2721720741485918,3.925820108814472e-23,22.406069604771456
'CDH3',1.2708758744630109,6.458604311809793e-48,47.18986132181411
'PSMD2',1.2701828733276175,1.268603980618605e-69,68.89667393020957
'PFKP',1.2684624508918325,2.590958142407411e-29,28.586539603096124
'PDZD11',1.2683345152079044,1.276381370476911e-32,31.894019543210995
'POLE3',1.2679297426456315,3.084321078687461e-31,30.510840418090616
'C17orf89',1.2678384863983998,6.522335197705578e-32,31.185596885570984
'BID',1.2657453081932137,3.188622016845692e-33,32.496396959505056
'CCDC115',1.2636507668523485,5.326229344530061e-30,29.27358013701097
'PEF1',1.2630428043121305,4.1298751302538663e-32,31.384063079351236
'PTRHD1',1.2614633130809108,1.853128321897477e-24,23.732094506443428
'CORO1C',1.259150334758796,4.779990038756103e-53,52.32057300843344
'JUP',1.259089256058078,1.4113485165638005e-74,73.8503657288886
'MCM4',1.2579621911108756,4.253455003501995e-25,24.371258157154166
